timestamp,open,high,low,close,volume
2017-01-12,118.8950,119.3000,118.2100,119.2500,27086220
2017-01-11,118.7400,119.9300,118.6000,119.7500,27588593
2017-01-10,118.7700,119.3800,118.3000,119.1100,24462051
2017-01-09,117.9500,119.4300,117.9400,118.9900,33561948
2017-01-06,116.7800,118.1600,116.4700,117.9100,31751900
2017-01-05,115.9200,116.8642,115.8100,116.6100,22193587
2017-01-04,115.8500,116.5100,115.7500,116.0200,21118116
2017-01-03,115.8000,116.3300,114.7600,116.1500,28781865
2016-12-30,116.6500,117.2000,115.4300,115.8200,30586265
2016-12-29,116.4500,117.1095,116.4000,116.7300,15039519
2016-12-28,117.5200,118.0166,116.2000,116.7600,20905892
2016-12-27,116.5200,117.8000,116.4900,117.2600,18296855
2016-12-23,115.5900,116.5200,115.5900,116.5200,14249484
2016-12-22,116.3500,116.5100,115.6400,116.2900,26085854
2016-12-21,116.8000,117.4000,116.7800,117.0600,23783165
2016-12-20,116.7400,117.5000,116.6800,116.9500,21424965
2016-12-19,115.8000,117.3800,115.7500,116.6400,27779423
2016-12-16,116.4700,116.5000,115.6450,115.9700,44351134
2016-12-15,115.3800,116.7300,115.2300,115.8200,46524544
2016-12-14,115.0400,116.2000,114.9800,115.1900,34031834
2016-12-13,113.8400,115.9200,113.7500,115.1900,43733811
2016-12-12,113.2900,115.0000,112.4900,113.3000,26374377
2016-12-09,112.3100,114.7000,112.3100,113.9500,34402627
2016-12-08,110.8600,112.4300,110.6000,112.1200,27068316
2016-12-07,109.2600,111.1900,109.1600,111.0300,29998719
2016-12-06,109.5000,110.3600,109.1900,109.9500,26195462
2016-12-05,110.0000,110.0300,108.2500,109.1100,34324540
2016-12-02,109.1700,110.0900,108.8500,109.9000,26527997
2016-12-01,110.3650,110.9400,109.0300,109.4900,37086862
2016-11-30,111.6000,112.2000,110.2700,110.5200,36162258
2016-11-29,110.7800,112.0300,110.0700,111.4600,28528750
2016-11-28,111.4300,112.4650,111.3900,111.5700,27193983
2016-11-25,111.1300,111.8700,110.9500,111.7900,11475922
2016-11-23,111.3600,111.5100,110.3300,111.2300,27426394
2016-11-22,111.9500,112.4200,111.4000,111.8000,25965534
2016-11-21,110.1200,111.9900,110.0100,111.7300,29264571
2016-11-18,109.7200,110.5400,109.6600,110.0600,28428917
2016-11-17,109.8100,110.3500,108.8300,109.9500,27632003
2016-11-16,106.7000,110.2300,106.6000,109.9900,58840522
2016-11-15,106.5700,107.6800,106.1593,107.1100,32264510
2016-11-14,107.7100,107.8090,104.0800,105.7100,51175504
2016-11-11,107.1200,108.8700,106.5500,108.4300,34143898
2016-11-10,111.0900,111.0900,105.8300,107.7900,57134541
2016-11-09,109.8800,111.3200,108.0500,110.8800,59176361
2016-11-08,110.3100,111.7200,109.7000,111.0600,24254179
2016-11-07,110.0800,110.5100,109.4600,110.4100,32560000
2016-11-04,108.5300,110.2500,108.1100,108.8400,30836997
2016-11-03,110.9800,111.4600,109.5500,109.8300,26932602
2016-11-02,111.4000,112.3500,111.2300,111.5900,28331709
2016-11-01,113.4600,113.7700,110.5300,111.4900,43825812
2016-10-31,113.6500,114.2300,113.2000,113.5400,26419398
2016-10-28,113.8700,115.2100,113.4500,113.7200,37861662
2016-10-27,115.3900,115.8600,114.1000,114.4800,34562045
2016-10-26,114.3100,115.7000,113.3100,115.5900,66134219
2016-10-25,117.9500,118.3600,117.3100,118.2500,48128970
2016-10-24,117.1000,117.7400,117.0000,117.6500,23538673
2016-10-21,116.8100,116.9100,116.2800,116.6000,23192665
2016-10-20,116.8600,117.3800,116.3300,117.0600,24125801
2016-10-19,117.2500,117.7600,113.8000,117.1200,20034594
2016-10-18,118.1800,118.2100,117.4500,117.4700,24553478
2016-10-17,117.3300,117.8400,116.7800,117.5500,23624896
2016-10-14,117.8800,118.1700,117.1300,117.6300,35652191
2016-10-13,116.7900,117.4400,115.7200,116.9800,35192406
2016-10-12,117.3500,117.9800,116.7500,117.3400,37586787
2016-10-11,117.7000,118.6900,116.2000,116.3000,64041043
2016-10-10,115.0200,116.7500,114.7200,116.0500,36235956
2016-10-07,114.3100,114.5600,113.5100,114.0600,24358443
2016-10-06,113.7000,114.3400,113.1300,113.8900,28779313
2016-10-05,113.4000,113.6600,112.6900,113.0500,21453089
2016-10-04,113.0600,114.3100,112.6300,113.0000,29736835
2016-10-03,112.7100,113.0500,112.2800,112.5200,21701760
2016-09-30,112.4600,113.3700,111.8000,113.0500,36379106
2016-09-29,113.1600,113.8000,111.8000,112.1800,35886990
2016-09-28,113.6900,114.6400,113.4300,113.9500,29641085
2016-09-27,113.0000,113.1800,112.3400,113.0900,24607412
2016-09-26,111.6400,113.3900,111.5500,112.8800,29869442
2016-09-23,114.4200,114.7900,111.5500,112.7100,52481151
2016-09-22,114.3500,114.9400,114.0000,114.6200,31073984
2016-09-21,113.8500,113.9890,112.4410,113.5500,36003185
2016-09-20,113.0500,114.1200,112.5100,113.5700,34514269
2016-09-19,115.1900,116.1800,113.2500,113.5800,47023046
2016-09-16,115.1200,116.1300,114.0400,114.9200,79886911
2016-09-15,113.8600,115.7300,113.4900,115.5700,90613177
2016-09-14,108.7300,113.0300,108.6000,111.7700,112340318
2016-09-13,107.5100,108.7900,107.2400,107.9500,62176190
2016-09-12,102.6500,105.7200,102.5300,105.4400,45292770
2016-09-09,104.6400,105.7200,103.1300,103.1300,46556984
2016-09-08,107.2500,107.2700,105.2400,105.5200,53002026
2016-09-07,107.8300,108.7600,107.0700,108.3600,42364328
2016-09-06,107.9000,108.3000,107.5100,107.7000,26880391
2016-09-02,107.7000,108.0000,106.8200,107.7300,26802450
2016-09-01,106.1400,106.8000,105.6200,106.7300,26701523
2016-08-31,105.6600,106.5699,105.6400,106.1000,29662406
2016-08-30,105.8000,106.5000,105.5000,106.0000,24863945
2016-08-29,106.6200,107.4400,106.2900,106.8200,24970300
2016-08-26,107.4100,107.9500,106.3100,106.9400,27766291
2016-08-25,107.3900,107.8800,106.6800,107.5700,25086248
2016-08-24,108.5650,108.7500,107.6800,108.0300,23675081
2016-08-23,108.5900,109.3200,108.5300,108.8500,21257669
2016-08-22,108.8600,109.1000,107.8500,108.5100,25820230
2016-08-19,108.7700,109.6900,108.3600,109.3600,25368072
2016-08-18,109.2300,109.6000,109.0200,109.0800,21984703
2016-08-17,109.1000,109.3700,108.3400,109.2200,25355976
2016-08-16,109.6300,110.2300,109.2100,109.3800,33794448
2016-08-15,108.1400,109.5400,108.0800,109.4800,25868209
2016-08-12,107.7800,108.4400,107.7800,108.1800,18660434
2016-08-11,108.5200,108.9300,107.8500,107.9300,27484506
2016-08-10,108.7100,108.9000,107.7600,108.0000,24008505
2016-08-09,108.2300,108.9400,108.0100,108.8100,26315204
2016-08-08,107.5200,108.3700,107.1600,108.3700,28037220
2016-08-05,106.2700,107.6500,106.1800,107.4800,40553402
2016-08-04,105.5800,106.0000,105.2800,105.8700,27408650
2016-08-03,104.8100,105.8400,104.7700,105.7900,30202641
2016-08-02,106.0500,106.0700,104.0000,104.4800,33816556
2016-08-01,104.4100,106.1500,104.4100,106.0500,38167871
2016-07-29,104.1900,104.5500,103.6800,104.2100,27733688
2016-07-28,102.8300,104.4500,102.8200,104.3400,39869839
2016-07-27,104.2650,104.3500,102.7500,102.9500,92344820
2016-07-26,96.8200,97.9700,96.4200,96.6700,56239822
2016-07-25,98.2500,98.8400,96.9200,97.3400,40382921
2016-07-22,99.2600,99.3000,98.3100,98.6600,28313669
2016-07-21,99.8300,101.0000,99.1300,99.4300,32702028
2016-07-20,100.0000,100.4600,99.7350,99.9600,26275968
2016-07-19,99.5600,100.0000,99.3400,99.8700,23779924
2016-07-18,98.7000,100.1300,98.6000,99.8300,36493867
2016-07-15,98.9200,99.3000,98.5000,98.7800,30136990
2016-07-14,97.3900,98.9900,97.3200,98.7900,38918997
2016-07-13,97.4100,97.6700,96.8400,96.8700,25892171
2016-07-12,97.1700,97.7000,97.1200,97.4200,24167463
2016-07-11,96.7500,97.6500,96.7300,96.9800,23794945
2016-07-08,96.4900,96.8900,96.0500,96.6800,28912103
2016-07-07,95.7000,96.5000,95.6200,95.9400,25139558
2016-07-06,94.6000,95.6600,94.3700,95.5300,30949090
2016-07-05,95.3900,95.4000,94.4600,94.9900,27705210
2016-07-01,95.4900,96.4650,95.3300,95.8900,26026540
2016-06-30,94.4400,95.7700,94.3000,95.6000,35836356
2016-06-29,93.9700,94.5500,93.6300,94.4000,36531006
2016-06-28,92.9000,93.6600,92.1400,93.5900,40444914
2016-06-27,93.0000,93.0500,91.5000,92.0400,46622188
2016-06-24,92.9100,94.6550,92.6500,93.4000,75311356
2016-06-23,95.9400,96.2900,95.2500,96.1000,32240187
2016-06-22,96.2500,96.8900,95.3500,95.5500,29219122
2016-06-21,94.9400,96.3500,94.6760,95.9100,35546358
2016-06-20,96.0000,96.5700,95.0300,95.1000,34411901
2016-06-17,96.6200,96.6500,95.3000,95.3300,61008219
2016-06-16,96.4500,97.7500,96.0700,97.5500,31326815
2016-06-15,97.8200,98.4100,97.0300,97.1400,29445227
2016-06-14,97.3200,98.4750,96.7500,97.4600,31931944
2016-06-13,98.6900,99.1200,97.1000,97.3400,38020494
2016-06-10,98.5300,99.3457,98.4800,98.8300,31712936
2016-06-09,98.5000,99.9900,98.4600,99.6500,26601354
2016-06-08,99.0200,99.5600,98.6800,98.9400,20848131
2016-06-07,99.2500,99.8700,98.9600,99.0300,22409450
2016-06-06,97.9900,101.8900,97.5500,98.6300,23292504
2016-06-03,97.7900,98.2700,97.4500,97.9200,28504888
2016-06-02,97.6000,97.8400,96.6300,97.7200,40191600
2016-06-01,99.0200,99.5400,98.3300,98.4600,29173285
2016-05-31,99.6000,100.4000,98.8200,99.8600,42307212
2016-05-27,99.4400,100.4700,99.2450,100.3500,36341240
2016-05-26,99.6800,100.7300,98.6400,100.4100,56331159
2016-05-25,98.6700,99.7400,98.1100,99.6200,38642108
2016-05-24,97.2200,98.0900,96.8400,97.9000,35140174
2016-05-23,95.8700,97.1900,95.6700,96.4300,38018643
2016-05-20,94.6400,95.4300,94.5200,95.2200,32025968
2016-05-19,94.6400,94.6400,93.5700,94.2000,30442100
2016-05-18,94.1600,95.2100,93.8900,94.5600,42062391
2016-05-17,94.5500,94.7000,93.0100,93.4900,46916939
2016-05-16,92.3900,94.3900,91.6500,93.8800,61259756
2016-05-13,90.0000,91.6700,90.0000,90.5200,44392765
2016-05-12,92.7200,92.7800,89.4700,90.3400,76314690
2016-05-11,93.4800,93.5700,92.4600,92.5100,28719109
2016-05-10,93.3300,93.5700,92.1100,93.4200,33686836
2016-05-09,93.0000,93.7700,92.5900,92.7900,32936436
2016-05-06,93.3700,93.4500,91.8500,92.7200,43699886
2016-05-05,94.0000,94.0700,92.6800,93.2400,35890500
2016-05-04,95.2000,95.9000,93.8200,94.1900,41025475
2016-05-03,94.2000,95.7400,93.6800,95.1800,56831277
2016-05-02,93.9650,94.0800,92.4000,93.6400,48160104
2016-04-29,93.9900,94.7200,92.5100,93.7400,68531478
